MUNICIPIO;CP;PROVINCIA;FRECUENCIA;TARIFA RAEE;TARIFA NO RAEE
Membr√≠o;10580;Caceres ;LUNES;38,00 Ä;34,00 Ä
Casas de Mill√°n;10592;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Plasencia;10600;Caceres ;LUNES  - MIERCOLES;45,00 Ä;41,00 Ä
Cabezuela del Valle;10610;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Tornavacas;10611;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Jerte;10612;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Navaconcejo;10613;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Valdastillas;10614;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Piornal;10615;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Casas del Casta√±ar;10616;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Rebollar (El);10617;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Torno (El);10617;Caceres ;MIERCOLES;47,00 Ä;43,00 Ä
Caminomorisco;10620;Caceres ;LUNES;47,00 Ä;43,00 Ä
Ladrillar;10625;Caceres ;LUNES;47,00 Ä;43,00 Ä
Nu√±omoral;10626;Caceres ;LUNES;47,00 Ä;43,00 Ä
Casares de las Hurdes;10628;Caceres ;LUNES;47,00 Ä;43,00 Ä
Pinofranqueado;10630;Caceres ;LUNES;47,00 Ä;43,00 Ä
Casar de Palomero;10640;Caceres ;LUNES;47,00 Ä;43,00 Ä
Pesga (La);10649;Caceres ;LUNES;47,00 Ä;43,00 Ä
Ahigal;10650;Caceres ;LUNES;47,00 Ä;43,00 Ä
Palomero;10660;Caceres ;LUNES;47,00 Ä;43,00 Ä
Santa Cruz de Paniagua;10661;Caceres ;LUNES;47,00 Ä;43,00 Ä
Marchagaz;10662;Caceres ;LUNES;47,00 Ä;43,00 Ä
Cerezo;10663;Caceres ;LUNES;47,00 Ä;43,00 Ä
Mohedas de Granadilla;10664;Caceres ;LUNES;47,00 Ä;43,00 Ä
Guijo de Granadilla;10665;Caceres ;LUNES;47,00 Ä;43,00 Ä
Aceituna;10666;Caceres ;LUNES;47,00 Ä;43,00 Ä
Santib√°√±ez el Bajo;10666;Caceres ;LUNES;47,00 Ä;43,00 Ä
Oliva de Plasencia;10667;Caceres ;LUNES;47,00 Ä;43,00 Ä
Carcaboso;10670;Caceres ;LUNES;47,00 Ä;43,00 Ä
Aldehuela de Jerte;10671;Caceres ;LUNES;47,00 Ä;43,00 Ä
Valdeobispo;10672;Caceres ;LUNES;47,00 Ä;43,00 Ä
Malpartida de Plasencia;10680;Caceres ;LUNES  - MIERCOLES;45,00 Ä;41,00 Ä
Galisteo;10691;Caceres ;LUNES;45,00 Ä;41,00 Ä
Riolobos;10693;Caceres ;LUNES;45,00 Ä;41,00 Ä
Torrej√≥n el Rubio;10694;Caceres ;LUNES;40,00 Ä;36,00 Ä
Barrado;10696;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Herv√°s;10700;Caceres ;LUNES;45,00 Ä;41,00 Ä
Zarza de Granadilla;10710;Caceres ;LUNES;45,00 Ä;41,00 Ä
Granja (La);10711;Caceres ;LUNES;45,00 Ä;41,00 Ä
Villar de Plasencia;10720;Caceres ;LUNES;45,00 Ä;41,00 Ä
Jarilla;10728;Caceres ;LUNES;45,00 Ä;41,00 Ä
